title,sub-title,ref,new_price,reserved_status,geo
Van Cleef & Arpels,MAGIC ALHAMBRA BETWEEN THE FINGER RING. MALACHITE (SIZE 51),VCARO3MI51,10580,,Москва
Van Cleef & Arpels,"MAGIC ALHAMBRA EARRINGS, MALACHITE 3 MOTIFS",VCARO2AG00,14100,,Москва
Piaget,YELLOW GOLD RING (SIZE 51),G34PL351,3750,,Москва
Cartier,"Juste un Clou Earrings, double, diamonds",B8301503,15800,,Москва
Cartier,Créoles LOVE EARRINGS,N8515192,13900,,Москва
Cartier,"RING JUSTE UN CLOU, SMALL MODEL (SIZE 53)",B4225800-53,1800,,Москва
No name,СЕРЬГИ С БРИЛЛИАНТАМИ 1.00-1.00 CT G/VS1 (GIA),NN 1.00 CT G/VS1,11250,,Санкт-Петербург
No name,КОЛЬЦО С БРИЛЛИАНТАМИ 1.00 CT И АЛЕКСАНДРИТОМ 5.15 CT (AGL),5.15ct agh,28500,,Москва
Chopard,HAPPY DIAMONDS YELLOW GOLD PENDANT,796249,4300,,Москва
Damiani,WHITE GOLD MARGHERITA BRACELET 0.38 CT,20072995/83,1950,,Москва
Ювелирные украшения,БРАСЛЕТ С БРИЛЛИАНТАМИ 27.37 СТ,27.37 СТ,Цена по запросу,,Москва
Graff,Heart Shape Diamond Bracelet,RGB361,Цена по запросу,,Москва
Chopard,"HAPPY HEARTS BANGLE, STONE INLAY RED, ROSE GOLD (SIZE 15.5)",857482-5702,3450,,Москва
Chopard,"HAPPY HEARTS BANGLE, STONE INLAY RED, ROSE GOLD (SIZE 17)",857482-5703,3450,,Москва
Van Cleef & Arpels,VINTAGE ALHAMBRA RING (SIZE 47),VCARA41047,4800,,Москва
Van Cleef & Arpels,"Vintage Alhambra necklace, 10 motifs",VCARD40600,12500,,Москва
Chopard,HAPPY HEARTS PENDANT,797482-5801,3550,,Москва
Chopard,"HAPPY HEART MALACHITE BRACELET, ROSE GOLD (SIZE 17)",857482-5106,3400,,Москва
No name,DIAMOND STUDS 2.28-3.00 CT FANCY LIGHT YELLOW/VVS2,210724 2.28-3.00 CT,38000,,Москва
No name,СЕРЬГИ С БРИЛЛИАНТАМИ 5.02 - 5.02 CT D/INTERNALLY FLAWLESS (GIA),NN5.02-5.02CT,Цена по запросу,,Москва
Tiffany & Co,SOLITAIRE DIAMOND RING 3.09CT G/VVS2,3.09CT G/VVS2,73500,,Москва
No name,КОЛЬЦО PEAR DIAMOND 2.51 CT H/VS2 (GIA),2.51CT H/VS2,19800,Зарезервировано,
Bvlgari,SERPENTI NECKLACE,352752,59950,,Москва
Harry Winston,Pirouette Diamond Pendant,PEDPRFPRSPIR,26000,,Москва
Cartier,CARTIER DESTINEE WEDDING BAR RING (SIZE 52),N4127552,18500,,Москва
Bvlgari,Divas’ Dream Collier,358682,16750,,Москва
Bvlgari,Bvlgari Tubogas Bracelet (size 17),360872,11500,,Москва
Messika,MOVE UNO STUD EARRINGS,12305-YG,1700,,Москва
Bvlgari,SERPENTI VIPER EARRINGS,348320,36500,Зарезервировано,
DeRosa,PEAR DIAMOND 0.70CT H/VVS2 PENDANT (GIA),N5461837,2700,,Москва
DeRosa,ROUND DIAMOND 3.59CT G-H/VS BRACELET,B7873591,7180,,Москва
Chopard,HAPPY HEARTS PENDANT,797482-5151,3390,,Москва
Chopard,"HAPPY HEARTS MALACHITE RING, ROSE GOLD (NEW)",829482-5130,2450,,Москва
No name,ПОДВЕСКА ROUND DIAMOND 2.05CT I/SI1 GIA,2.05ct I/SI1,12500,,Москва
Bvlgari,Fiorever Pendant,354469,10550,,Москва
Hermès,KELLY BRACELET SMALL MODEL,H214456B 00ST,7800,,Москва
Bvlgari,Fiorever Earrings,354502,9900,,Москва
Bvlgari,B.ZERO1 RING (SIZE 52),323533,2950,,Москва
Tiffany & Co,PLATINUM DIAMOND EARRINGS,PTE251224,6500,,Москва
Cartier,JUSTE UN CLOU BRACELET (SIZE 19),B6048219,8200,,Москва
Cartier,1895 WEDDING RING,B4071452,3000,,Москва
Tiffany & Co,Tiffany Harmony  Wedding Band in Platinum,60002089,1000,,Москва
Cartier,JUSTE UN CLOU,B7224892,5700,,Москва
No name,HEART DIAMOND 1.01-1.04 CT D/VS1-VS2 EARRINGS (GIA),NN1.01-1.04CTD/VS(GIA),9350,,Москва
No name,DIAMOND 0.81 CT G-G/VS RING (SIZE 49),NN0.81CTF-G/VS12,1850,,Москва
Cartier,Etincelle de Cartier Bracelet (SIZE 16),B6049717,8500,,Москва
No name,КОЛЬЦО С БРИЛЛИАНТАМИ 1.12CT H/VS1 (SIZE 51),1.12ct H/VS1,4550,,Москва
No name,ROUND DIAMOND 0.70 CT E/VVS2 PENDANT (GIA),NNP0.70CTE/VVS2GIA,2050,Зарезервировано,
Cartier,"LOVE BRACELET, SMALL MODEL, WHITE GOLD, DIAMONDS (SIZE 17)",N6710817,32000,,Москва
Cartier,JUSTE UN CLOU,B7224892,5500,,Москва
